,Material,AtomicMass,AtomicNumber,FirstIonizationEnergy,CovalentRadius,ElectronAffinity,FusionHeat,Period,Valence,VaporizationHeat
20,20,57.17514186,24.72857143,1011.484286,115.5428571,110.5861429,3.822571429,3.414285714,2.271428571,155.3342857
21,21,56.25932989,24.38928571,1011.625357,115.3285714,109.8188214,3.852928571,3.396428571,2.253571429,150.6378571
22,22,56.0761675,24.32142857,1011.653571,115.2857143,109.6653571,3.859,3.392857143,2.25,149.6985714
23,23,55.70984271,24.18571429,1011.71,115.2,109.3584286,3.871142857,3.385714286,2.242857143,147.82
24,24,55.34351793,24.05,1011.766429,115.1142857,109.0515,3.883285714,3.378571429,2.235714286,145.9414286
25,25,54.97719314,23.91428571,1011.822857,115.0285714,108.7445714,3.895428571,3.371428571,2.228571429,144.0628571
26,26,56.62565468,24.525,1011.568929,115.4142857,110.12575,3.840785714,3.403571429,2.260714286,152.5164286
27,27,55.79005993,24.20714286,1012.406429,115.05,110.2222143,3.846285714,3.385714286,2.264285714,153.8414286
28,28,152.46412,62.1,647.68,176.85,59.5875,7.8811,5.6,2.8,165.1705
29,29,104.627,43.55,811,144.4,88.0475,7.1955,4.5,2.45,154.8525
30,30,139.4662667,57,686.5111111,170.5555556,63.70555556,7.502444444,5.333333333,2.666666667,155.9344444
31,31,102.8417812,42.875,808.447,145.2,87.9129,7.1325,4.495,2.45,165.6375
32,32,65.83464667,28.73333333,868.5866667,134.3333333,93.20333333,7.560666667,3.866666667,2.133333333,179.8033333
33,33,65.83464667,28.73333333,868.5866667,134.3333333,93.20333333,7.560666667,3.866666667,2.133333333,179.8033333
34,34,77.27946667,33,866.6166667,133.3333333,97.125,9.090666667,4,2.166666667,171.97
35,35,75.97830783,32.51666667,863.625,134.75,95.3225,8.134,4,2.116666667,160.6366667
36,36,75.451521,32.3,862.1833333,135.1666667,94.72166667,7.987333333,4,2.1,158.8033333
37,37,74.92473417,32.08333333,860.7416667,135.5833333,94.12083333,7.840666667,4,2.083333333,156.97
38,38,74.39794733,31.86666667,859.3,136,93.52,7.694,4,2.066666667,155.1366667
39,39,55.09179,24,997.9076923,115,109.0846154,4.858,3.384615385,2.076923077,123.3746154
40,40,81.45675,35.14285714,738.3571429,154.5714286,79.1,9.560285714,4.428571429,2.142857143,223.3442857
41,41,48.38036235,21.4,1032.743529,110.3529412,108.5905882,4.644705882,3.2,2.094117647,110.4764706
42,42,49.41361833,21.8,1027.056667,111.75,107.0358333,4.652833333,3.233333333,2.1,110.9891667
43,43,51.92295429,22.77142857,1013.245714,115.1428571,103.26,4.672571429,3.314285714,2.114285714,112.2342857
44,44,73.2128,31.53333333,857.4,135.8,95.92333333,6.987333333,4,2.133333333,167.1366667
45,45,50.9452,22.36,1040.912,107.64,113.954,4.4572,3.2,2.08,92.846
46,46,51.36808,22.44,1044.696,107.48,113.954,4.5132,3.2,2.08,103.246
47,47,51.78808,22.6,1042.52,107.16,113.954,4.6012,3.2,2.08,101.246
48,48,51.9825056,22.68,1043.08,107.16,113.954,5.0732,3.2,2.08,100.046
49,49,52.1688,22.76,1043.64,106.92,113.954,5.3052,3.2,2.08,101.646
50,50,52.3028168,22.84,1044.28,107,113.954,5.0572,3.2,2.08,98.846
51,51,52.785424,23,1038.2,106.76,113.954,5.4732,3.2,2.08,112.046
52,52,94.01767273,40.09090909,691.6909091,161.1818182,79.53181818,9.447454545,4.727272727,2.181818182,226.6736364
53,53,90.23591429,38.42857143,727.6,155.7142857,82.01428571,9.146,4.571428571,2.142857143,194.0585714
54,54,96.38276364,40.81818182,703.0909091,160.2727273,79.53181818,9.974727273,4.727272727,2.181818182,230.31
55,55,81.45675,35.14285714,738.3571429,154.5714286,79.1,9.560285714,4.428571429,2.142857143,223.3442857
56,56,46.868971,20.78,1044.134,107.5,112.009,4.5572,3.14,2.06,104.446
57,57,78.86562,33.85,788.355,152,74.955,8.0105,4.3,2.2,193.8525
58,58,73.28091714,31.65714286,822.74,144.4285714,82.77571429,7.817714286,4.114285714,2.171428571,187.8314286
59,59,60.77679986,26.05,1015.31,116.0571429,107.2035714,3.6395,3.471428571,2.242857143,142.7885714
60,60,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
61,61,102.9195735,42.9,807.905,145.4,87.9475,7.1255,4.5,2.45,166.8525
62,62,55.34351793,24.05,1011.766429,115.1142857,109.0515,3.883285714,3.378571429,2.235714286,145.9414286
63,63,65.83464667,28.73333333,868.5866667,134.3333333,93.20333333,7.560666667,3.866666667,2.133333333,179.8033333
64,64,52.6324,22.92,1045.4,106.76,113.954,4.3292,3.2,2.08,91.646
65,65,67.13560571,28.57142857,1003.042857,110.8,110.7414286,7.884,3.428571429,2.257142857,155.52
66,66,36.8819275,16.95,1100.251667,98.08333333,118.4058333,4.174666667,2.85,2.15,111.6066667
67,67,57.87396707,24.97857143,1010.544286,115.8857143,110.4703571,3.834714286,3.428571429,2.264285714,153.52
68,68,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
69,69,56.33049943,24.40714286,1010.974286,115.5714286,109.1808571,3.886857143,3.4,2.271428571,152.47
70,70,56.42448586,24.44857143,1011.461571,115.4014286,109.8754286,3.860714286,3.4,2.261428571,151.7957143
71,71,56.42599243,24.45,1011.464857,115.3814286,109.895,3.857428571,3.4,2.262857143,151.6328571
72,72,56.41789813,24.44571429,1011.516571,115.3914286,109.634,3.847142857,3.4,2.262857143,151.3485714
73,73,56.38748514,24.43571429,1011.697857,115.3714286,109.2387143,3.851857143,3.4,2.264285714,151.9128571
74,74,56.40954368,24.44285714,1011.690714,115.3285714,109.5815714,3.869,3.4,2.271428571,152.1128571
75,75,56.40783086,24.45,1011.534286,115.3142857,109.9265714,3.876142857,3.4,2.257142857,152.1342857
76,76,56.44511229,24.45857143,1011.826857,115.3571429,109.8031429,3.838642857,3.4,2.257142857,151.3185714
77,77,56.47109486,24.48571429,1011.39,115.3142857,110.0008571,3.855428571,3.4,2.271428571,150.5771429
78,78,56.51872843,24.5,1011.46,115.2857143,110.0008571,3.858285714,3.4,2.257142857,149.9342857
79,79,56.60612843,24.52857143,1011.582857,115.2428571,110.0008571,3.878285714,3.4,2.257142857,148.3628571
80,80,56.704557,24.55714286,1012.355714,115.2142857,110.0008571,3.899714286,3.4,2.257142857,150.22
81,81,51.15680769,22.58076923,1003.785769,113.6923077,106.4842308,5.258384615,3.307692308,2.088461538,122.3784615
82,82,51.06795,22.54615385,1003.948462,113.6923077,105.2992308,5.266461538,3.307692308,2.1,122.9207692
83,83,51.22789385,22.60846154,1003.655615,113.6923077,107.4322308,5.251923077,3.307692308,2.079230769,121.9446154
84,84,51.21012231,22.60153846,1003.688154,113.6923077,107.1952308,5.253538462,3.307692308,2.081538462,122.0530769
85,85,51.17457923,22.58769231,1003.753231,113.6923077,106.7212308,5.256769231,3.307692308,2.086153846,122.27
86,86,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
87,87,52.48148077,23.23076923,979.4615385,116.6923077,112.2076923,5.366307692,3.384615385,2.384615385,122.3276923
88,88,52.74209615,23.30769231,999.1461538,116.4615385,123.6692308,5.479384615,3.384615385,2.307692308,122.3584615
89,89,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
90,90,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
91,91,56.50290769,24.53846154,1001.992308,114.1538462,109.2384615,5.142615385,3.384615385,2.076923077,116.0669231
92,92,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
93,93,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
94,94,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
95,95,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
96,96,54.15839429,23.57142857,1022.771429,110.4285714,111.5071429,5.291142857,3.285714286,2.071428571,105.1628571
97,97,53.1216275,23.17857143,1024.365714,110.6714286,111.3614286,4.801142857,3.278571429,2.071428571,108.5557143
98,98,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
99,99,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
100,100,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
101,101,51.23974613,22.51612903,1020.583871,113.7096774,105.0403226,5.077290323,3.290322581,2.193548387,122.3025806
102,102,50.94721,22.34,1040.744,107.47,114.3145,4.3982,3.2,2.09,93.196
103,103,50.81688,22.28,1040.368,107.64,113.954,4.3932,3.2,2.08,92.846
104,104,35.24107667,15.88666667,1161.289778,89.26555556,125.6940556,2.535444444,2.666666667,2.036666667,52.82444444
105,105,50.55622,22.16,1039.616,107.98,113.233,4.3832,3.2,2.06,92.146
106,106,50.42589,22.1,1039.24,108.15,112.8725,4.3782,3.2,2.05,91.796
107,107,50.29556,22.04,1038.864,108.32,112.512,4.3732,3.2,2.04,91.446
108,108,50.68655,22.22,1039.992,107.81,113.5935,4.3882,3.2,2.07,92.496
109,109,46.54616333,20.66666667,1044.886667,107.3333333,112.1133333,4.579866667,3.133333333,2.066666667,106.046
110,110,64.0222,27.38461538,1014.269231,108.6153846,108.9430769,5.042615385,3.384615385,2.461538462,93.68230769
111,111,94.03645,39.5,827.5,135.25,88.9075,8.0555,4.25,2.75,150.1025
112,112,92.65005714,39.28571429,733.4428571,154.4285714,82.01428571,10.77457143,4.571428571,2.142857143,209.7728571
113,113,92.31738857,39.14285714,732.4428571,154.8571429,82.01428571,10.36028571,4.571428571,2.142857143,206.9157143
114,114,91.2202,38.71428571,735.3285714,155.4285714,82.01428571,9.360285714,4.571428571,2.142857143,212.63
115,115,51.51889225,22.72868217,1001.224031,114.0620155,107.4108527,5.289286822,3.317829457,2.07751938,122.754186
116,116,91.51055714,39.07142857,731.7428571,154.5,84.58928571,9.353142857,4.571428571,2.214285714,196.5585714
117,117,92.64327143,39.28571429,741.8785714,154.0714286,84.58928571,9.503142857,4.571428571,2.214285714,224.4157143
118,118,77.99809643,33.92857143,746.4214286,152.7857143,80.21785714,9.803142857,4.357142857,2.214285714,240.4871429
119,119,96.02984286,40.57142857,743.7642857,152.1428571,84.58928571,9.010285714,4.571428571,2.214285714,193.3442857
120,120,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
121,121,51.15234615,22.59615385,1003.453846,113.5384615,107.5461538,5.329153846,3.307692308,2.076923077,123.3361538
122,122,51.10503284,22.55384615,1002.977692,113.65,107.3773077,5.241076923,3.303846154,2.080769231,121.8092308
123,123,50.9644003,22.49230769,1002.332308,113.6076923,107.0853846,5.231846154,3.3,2.084615385,121.7823077
124,124,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
125,125,56.79148636,24.58928571,1011.509286,115.4285714,110.2563571,3.849357143,3.407142857,2.264285714,153.7342857
126,126,56.77415564,24.58571429,1011.477857,115.4,110.2335,3.864,3.407142857,2.264285714,154.0128571
127,127,50.93627379,22.48,1002.203231,113.5992308,107.027,5.23,3.299230769,2.085384615,121.7769231
128,128,50.90814728,22.46769231,1002.074154,113.5907692,106.9686154,5.228153846,3.298461538,2.086153846,121.7715385
129,129,50.88002077,22.45538462,1001.945077,113.5823077,106.9102308,5.226307692,3.297692308,2.086923077,121.7661538
130,130,50.86595752,22.44923077,1001.880538,113.5780769,106.8810385,5.225384615,3.297307692,2.087307692,121.7634615
131,131,50.73938823,22.39384615,1001.299692,113.54,106.6183077,5.217076923,3.293846154,2.090769231,121.7392308
132,132,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
133,133,51.79638828,22.84375,998.7875,114.4375,107.1484375,5.328875,3.328125,2.078125,123.6865625
134,134,57.27283077,24.84615385,1000.976923,113.6153846,109.2384615,5.904153846,3.384615385,2.076923077,114.5284615
135,135,50.71040804,22.38508371,1006.901218,112.8112633,107.2977169,5.200313546,3.283105023,2.065449011,120.5428676
136,136,49.45678496,21.84569733,1014.578932,110.7477745,106.4275964,5.083222552,3.225519288,2.038575668,117.5138694
137,137,47.65725643,21.07142857,1025.6,107.7857143,105.1785714,4.915142857,3.142857143,2,113.1658571
138,138,46.54616333,20.66666667,1044.886667,107.3333333,112.1133333,4.579866667,3.133333333,2.066666667,106.046
139,139,55.79020916,24.33587786,1000.756489,113.9389313,109.480916,5.051618321,3.374045802,2.076335878,105.2832824
140,140,56.25517982,24.43730887,1003.895107,113.8593272,109.4327217,5.112519878,3.376146789,2.076452599,115.3778899
141,141,57.48111607,24.92667707,995.5024961,114.5179407,108.7925117,5.29750702,3.404056162,2.07800312,115.6986115
142,142,58.03133706,25.15184894,993.3045633,114.9378442,108.5137687,5.805634933,3.41620771,2.078678206,115.4902518
143,143,57.85233292,25.08268331,996.5945398,114.2839314,108.7925117,5.983934477,3.404056162,2.07800312,116.0886271
144,144,58.54721107,25.39130435,992.9735178,115.0118577,108.3596838,5.8163083,3.422924901,2.079051383,114.836087
145,145,58.67049363,25.38788356,995.5862313,114.5444532,108.5137687,5.073927616,3.41620771,2.078678206,107.2290401
146,146,57.86573846,25.07692308,995.7461538,113.4615385,109.2384615,6.065692308,3.384615385,2.076923077,124.5284615
147,147,52.02152657,22.93710692,996.8106918,114.7421384,106.9355346,5.360993711,3.336477987,2.078616352,124.4430189
148,148,55.02201398,24.03343465,1001.010334,113.9483283,109.6246201,4.862425532,3.367781155,2.075987842,113.1774772
149,149,55.63750831,24.24713959,1000.476049,113.9023646,109.504958,4.986912281,3.372997712,2.076277651,105.2055759
150,150,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
151,151,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
152,152,52.07278568,22.97167585,995.7925256,114.7781275,106.7130999,5.432446892,3.340676633,2.078678206,125.8117231
153,153,51.49340015,22.7296467,1012.980492,113.218126,100.0684332,4.892396313,3.311827957,2.076804916,110.4646697
154,154,52.54545757,23.15161545,996.526911,114.8966903,107.0419307,5.345311269,3.348542159,2.066745469,124.0789598
155,155,53.99070435,23.70983871,989.6212742,116.0316129,106.7432419,5.548145161,3.386774194,2.112258065,129.0680645
156,156,51.75512869,22.82279469,998.7068696,114.3754879,105.7946526,5.403559719,3.330210773,2.12490242,125.4557377
157,157,52.13836589,22.9918239,995.5598899,114.8976415,106.7007783,5.406194969,3.341981132,2.079402516,125.4228774
158,158,51.3167054,22.63472868,1000.561659,114.2264341,104.6298295,5.291635659,3.317829457,2.124496124,120.8751163
159,159,51.15325338,22.57938462,1003.792277,113.6923077,106.4368308,5.258707692,3.307692308,2.088923077,122.4001538
160,160,81.21455491,35.0485755,738.4546011,154.7079772,74.50390313,9.590897436,4.431623932,2.187037037,225.4773504
161,161,51.51889225,22.72868217,1001.224031,114.0620155,107.4108527,5.289286822,3.317829457,2.07751938,122.754186
162,162,52.15437128,22.96219709,986.5606381,115.8108239,105.4659208,5.361995153,3.342810985,2.067609047,125.4616317
163,163,51.73533216,22.77515823,988.91375,115.4416139,105.4370965,5.267405063,3.326424051,2.06471519,123.5071203
164,164,51.15680769,22.58076923,1003.785769,113.6923077,106.4842308,5.258384615,3.307692308,2.088461538,122.3784615
165,165,51.15680769,22.58076923,1003.785769,113.6923077,106.4842308,5.258384615,3.307692308,2.088461538,122.3784615
166,166,51.06795,22.54615385,1003.948462,113.6923077,105.2992308,5.266461538,3.307692308,2.1,122.9207692
167,167,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
168,168,51.21900808,22.605,1003.671885,113.6923077,107.3137308,5.252730769,3.307692308,2.080384615,121.9988462
169,169,51.21900808,22.605,1003.671885,113.6923077,107.3137308,5.252730769,3.307692308,2.080384615,121.9988462
170,170,51.183465,22.59115385,1003.736962,113.6923077,106.8397308,5.255961538,3.307692308,2.085,122.2157692
171,171,74.87168468,32.38658147,837.6357827,144.284345,105.341853,8.579744409,4.172523962,2.022364217,200.1415655
172,172,50.75735912,22.38273921,1056.603565,111.4146341,131.6378987,5.132371482,3.275797373,1.951219512,118.9303752
173,173,80.87335757,34.89866969,747.1525616,153.6600623,81.4248514,9.47341636,4.405887348,2.132182281,221.288681
174,174,80.87335757,34.89866969,747.1525616,153.6600623,81.4248514,9.47341636,4.405887348,2.132182281,221.288681
175,175,80.01842101,34.54082345,760.0418702,152.3244941,84.83182135,9.34611305,4.372644801,2.11653873,218.2762805
176,176,81.31431363,35.08323831,740.504561,154.3489168,79.66761688,9.539076397,4.423033067,2.140250855,222.8424059
177,177,81.1636851,35.02019053,742.775487,154.1136073,80.26787999,9.516647234,4.417176169,2.137494668,222.3116607
178,178,81.013783,34.95744681,745.035461,153.8794326,80.86524823,9.494326241,4.411347518,2.134751773,221.7834752
179,179,81.45675,35.14285714,738.3571429,154.5714286,79.1,9.560285714,4.428571429,2.142857143,223.3442857
180,180,91.2202,38.71428571,735.3285714,155.4285714,82.01428571,9.360285714,4.571428571,2.142857143,212.63
181,181,92.65005714,39.28571429,733.4428571,154.4285714,82.01428571,10.77457143,4.571428571,2.142857143,209.7728571
182,182,91.9702,39,731.4428571,154.8571429,82.01428571,9.517428571,4.571428571,2.142857143,209.0585714
183,183,92.31738857,39.14285714,732.4428571,154.8571429,82.01428571,10.36028571,4.571428571,2.142857143,206.9157143
184,184,81.45675,35.14285714,738.3571429,154.5714286,79.1,9.560285714,4.428571429,2.142857143,223.3442857
185,185,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
186,186,56.80535093,24.59214286,1011.534429,115.4514286,110.2746429,3.837642857,3.407142857,2.264285714,153.5114286
187,187,56.80188479,24.59142857,1011.528143,115.4457143,110.2700714,3.840571429,3.407142857,2.264285714,153.5671429
188,188,56.7949525,24.59,1011.515571,115.4342857,110.2609286,3.846428571,3.407142857,2.264285714,153.6785714
189,189,87.37948538,37.03,785.30525,152.49,87.190625,6.575,4.4625,2.4625,266.575
190,190,92.543,39.22222222,711.9111111,146.5555556,61.47666667,8.111333333,4.444444444,2.222222222,187.0455556
191,191,97.0214,40.9,690.97,153.4,56.724,8.1002,4.6,2.2,182.341
192,192,81.45675,35.14285714,738.3571429,154.5714286,79.1,9.560285714,4.428571429,2.142857143,223.3442857
193,193,81.12077143,34.99285714,736.4885714,155.1714286,76.72571429,9.680285714,4.428571429,2.185714286,226.0228571
194,194,80.78479286,34.84285714,734.62,155.7714286,74.35142857,9.800285714,4.428571429,2.228571429,228.7014286
195,195,80.44881429,34.69285714,732.7514286,156.3714286,71.97714286,9.920285714,4.428571429,2.271428571,231.38
196,196,80.11283571,34.54285714,730.8828571,156.9714286,69.60285714,10.04028571,4.428571429,2.314285714,234.0585714
197,197,79.77685714,34.39285714,729.0142857,157.5714286,67.22857143,10.16028571,4.428571429,2.357142857,236.7371429
198,198,79.44087857,34.24285714,727.1457143,158.1714286,64.85428571,10.28028571,4.428571429,2.4,239.4157143
199,199,79.96163333,34.5,774.0666667,141.5,79.4,8.977,4.166666667,2.5,175.9016667
200,200,95.857725,40.55,738.0475,148.525,71.51225,9.10875,4.475,2.75,169.50125
201,201,75.86112222,33.33333333,704.6388889,150.3888889,71.95388889,10.27677778,4.277777778,2.333333333,208.5783333
202,202,79.96163333,34.5,774.0666667,141.5,79.4,8.977,4.166666667,2.5,175.9016667
203,203,56.76694525,24.5647482,1014.036691,115.3021583,109.7948921,3.747374101,3.402877698,2.26618705,151.7503597
204,204,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
205,205,51.73908859,22.81890625,998.9502266,114.3629688,106.4689609,5.367382813,3.328125,2.10296875,124.6182031
206,206,50.34756269,22.23816679,1008.872322,112.7954921,107.5615402,5.24689707,3.280240421,2.133433509,119.7489857
207,207,51.96497692,22.91365777,997.3072214,114.6656201,106.989011,5.352926217,3.334379906,2.078492936,124.2530141
208,208,51.4245686,22.68986852,1001.969451,113.9505027,107.3299304,5.278612529,3.314771848,2.078886311,122.5499845
209,209,51.43410588,22.69427245,1001.761378,113.9876161,107.0654025,5.284151703,3.315789474,2.08126935,122.7513313
210,210,51.40430325,22.68266254,1001.815944,113.9876161,106.6679567,5.286860681,3.315789474,2.085139319,122.9332198
211,211,51.3173621,22.64810518,1002.165739,113.9505027,105.900232,5.288357309,3.314771848,2.092807425,123.2042769
212,212,51.00871154,22.52307692,1004.056923,113.6923077,104.5092308,5.271846154,3.307692308,2.107692308,123.2823077
213,213,51.29508654,22.63263728,1001.298763,113.907966,107.1952823,5.268249033,3.310904872,2.081206497,122.4502166
214,214,51.15369264,22.57076566,1000.649884,113.8654292,106.9017788,5.258968291,3.307037896,2.085073473,122.4231477
215,215,50.92492732,22.46940356,998.8660728,113.8543765,106.261038,5.248181255,3.301316809,2.092951201,122.5532998
216,216,50.42835393,22.25712086,999.5095458,113.4749808,105.8906851,5.198751347,3.285604311,2.100076982,121.7656582
217,217,50.12060503,22.12307692,998.46,113.3538462,105.3338462,5.176461538,3.276923077,2.107692308,121.6207692
218,218,51.56398353,22.75524476,1000.428671,114.1118881,107.2828283,5.332955711,3.320901321,2.077700078,123.6384382
219,219,51.66483916,22.8049922,999.1405616,114.2371295,107.1014041,5.384870515,3.326053042,2.07800312,124.7157722
220,220,51.51174061,22.7255814,1001.244341,114.0527132,107.3260465,5.294093023,3.317829457,2.080620155,122.8704651
221,221,51.4460571,22.69814241,1001.757508,113.9643963,107.251161,5.293439628,3.315789474,2.085139319,122.8596904
222,222,51.70456143,22.8049922,999.3800312,114.3151326,106.774571,5.345088924,3.326053042,2.093603744,124.083947
223,223,51.64077872,22.77786438,999.7266563,114.2307093,106.3749026,5.365257989,3.325019486,2.109119252,124.5744583
224,224,51.46660563,22.70496894,1001.044876,113.9968944,106.0846273,5.369360248,3.319875776,2.124223602,124.6863975
225,225,51.21494896,22.62606014,1002.703701,113.617579,107.4441018,5.356772552,3.310717039,2.077101002,123.9142406
226,226,51.78276066,22.83996877,1000.288134,114.3216237,106.2505855,5.280001561,3.327088212,2.078064012,122.1797112
227,227,51.8530552,22.87099296,1001.056216,114.3189992,105.2705238,5.24295387,3.329163409,2.078186083,120.9502658
228,228,52.00816374,22.93720565,1001.093721,114.4301413,104.2009419,5.217525903,3.334379906,2.078492936,119.9908477
229,229,51.65710039,22.78599222,1000.010506,114.2490272,107.2801556,5.309003891,3.322957198,2.077821012,123.2185603
230,230,91.2202,38.71428571,735.3285714,155.4285714,82.01428571,9.360285714,4.571428571,2.142857143,212.63
231,231,89.8,38.2,736.6571429,154.8571429,81.75942857,9.360285714,4.542857143,2.142857143,212.5442857
232,232,88.3798,37.68571429,737.9857143,154.2857143,81.50457143,9.360285714,4.514285714,2.142857143,212.4585714
233,233,86.9596,37.17142857,739.3142857,153.7142857,81.24971429,9.360285714,4.485714286,2.142857143,212.3728571
234,234,85.5394,36.65714286,740.6428571,153.1428571,80.99485714,9.360285714,4.457142857,2.142857143,212.2871429
235,235,84.1192,36.14285714,741.9714286,152.5714286,80.74,9.360285714,4.428571429,2.142857143,212.2014286
236,236,66.43866037,28.3675,951.961875,126.56125,103.366,4.060125,3.70875,2.3475,185.048375
237,237,64.86821852,27.73975904,935.4668675,127.986747,101.5383133,4.007349398,3.68313253,2.298795181,181.8912048
238,238,79.96163333,34.5,774.0666667,141.5,79.4,8.977,4.166666667,2.5,175.9016667
239,239,79.96163333,34.5,774.0666667,141.5,79.4,8.977,4.166666667,2.5,175.9016667
240,240,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
241,241,57.09370154,24.76923077,1000.438462,113.8461538,109.2384615,5.681076923,3.384615385,2.076923077,112.99
242,242,55.97290769,24.38461538,997.8307692,114.3076923,109.2384615,5.027230769,3.384615385,2.076923077,106.0669231
243,243,51.24566538,22.61538462,1003.623077,113.6923077,107.6692308,5.250307692,3.307692308,2.076923077,121.8361538
244,244,90.46505714,38.57142857,728.5714286,155.7142857,82.01428571,9.260285714,4.571428571,2.142857143,194.0585714
245,245,51.79638828,22.84375,998.7875,114.4375,107.1484375,5.328875,3.328125,2.078125,123.6865625
246,246,89.36191429,38.14285714,726.3714286,156.1428571,82.01428571,8.946,4.571428571,2.142857143,209.7728571
247,247,79.96163333,34.5,774.0666667,141.5,79.4,8.977,4.166666667,2.5,175.9016667
248,248,56.44249229,24.45714286,1011.597143,115.3714286,109.9722857,3.846857143,3.4,2.257142857,151.5771429
249,249,49.15603143,21.8,1019.697143,113.7142857,104.1542857,4.866857143,3.257142857,2.171428571,125.9485714
250,250,51.010028,22.29733333,1043.642533,107.7333333,112.2409333,4.494933333,3.2,2.078666667,101.61
251,251,49.15603143,21.8,1019.697143,113.7142857,104.1542857,4.866857143,3.257142857,2.171428571,125.9485714
